招商证券股份有限公司上海娄山关路证券营业部,117
长江证券股份有限公司台州市府大道证券营业部,116
海通证券股份有限公司南京广州路营业部,116
华泰证券股份有限公司扬州宝应叶挺东路证券营业部,116
华泰证券股份有限公司深圳侨香路智慧广场证券营业部,115
西南证券股份有限公司杭州庆春东路证券营业部,114
东方证券股份有限公司杭州龙井路证券营业部,113
中信建投证券股份有限公司成都南一环路证券营业部,111
国信证券股份有限公司北京三里河证券营业部,110
东吴证券股份有限公司苏州石路证券营业部,109
东方证券股份有限公司上海浦东新区银城中路证券营业部,108
华鑫证券有限责任公司上海自贸试验区分公司,108
国信证券股份有限公司深圳红岭中路证券营业部,107
中国银河证券股份有限公司杭州天城东路证券营业部,107
华泰证券股份有限公司苏州人民路证券营业部,107
中国中投证券有限责任公司深圳深南大道证券营业部,106
华鑫证券有限责任公司苏州时代广场证券营业部,106
东方证券股份有限公司桂林中山中路证券营业部,105
中国银河证券股份有限公司南京洪武路证券营业部,104
华泰证券股份有限公司深圳红荔路证券营业部,104
西藏东方财富证券股份有限公司昌都聚盛路证券营业部,104
华鑫证券有限责任公司上海红宝石路证券营业部,104
中国中投证券有限责任公司广州体育东路证券营业部,104
华泰证券股份有限公司佛山灯湖东路证券营业部,103
东方证券股份有限公司深圳金田路证券营业部,100
华泰证券股份有限公司成都人民南路证券营业部,99
中国国际金融股份有限公司上海黄浦区湖滨路证券营业部,98
华泰证券股份有限公司天津东丽开发区二纬路证券营业部,98
中国中投证券有限责任公司上海复兴东路证券营业部,98
华福证券有限责任公司泉州丰泽街证券营业部,97
方正证券股份有限公司上海西藏南路证券营业部,97
中国银河证券股份有限公司厦门嘉禾路证券营业部,97
中国中投证券有限责任公司深圳宝安兴华路证券营业部,96
华泰证券股份有限公司上海杨浦区国宾路证券营业部,96
民生证券股份有限公司驻马店交通路证券营业部,95
华泰证券股份有限公司深圳深南大道证券营业部,95
万和证券股份有限公司成都通盈街证券营业部,95
光大证券股份有限公司宁波解放南路证券营业部,94
招商证券股份有限公司深圳蛇口工业三路证券营业部,94
方正证券股份有限公司宁波分公司,94
华泰证券股份有限公司上海徐汇区天钥桥路证券营业部,94
西藏东方财富证券股份有限公司拉萨江苏东路证券营业部,93
